name,FGA,FGM,FT%,3PT%,PTS,REB,AST,ST,BLK,TO
Fred VanVleet,773,319,0.848,0.39,952,203,357,100,17,121
Lonzo Ball,687,277,0.566,0.375,745,383,438,88,38,193
Jayson Tatum,1226,552,0.812,0.403,1547,460,200,93,57,155
Josh Jackson,159,70,0.7,0.319,198,66,35,18,9,28
De'Aaron Fox,815,391,0.705,0.292,1077,196,348,74,25,158
Lauri Markkanen,591,251,0.824,0.344,737,313,74,42,23,81
Dennis Smith Jr.,211,72,0.509,0.296,187,78,98,28,8,58
Malik Monk,488,212,0.82,0.284,564,157,114,25,16,77
Donovan Mitchell,1342,602,0.863,0.366,1655,304,294,70,14,184
Bam Adebayo,790,440,0.691,0.143,1146,735,368,82,93,204
John Collins,605,353,0.8,0.401,885,416,60,31,66,75
Jarrett Allen,465,302,0.633,0,775,671,110,40,92,77
OG Anunoby,566,286,0.706,0.39,733,364,108,96,45,79
Kyle Kuzma,668,291,0.735,0.316,782,273,80,28,26,91
Derrick White,552,253,0.853,0.366,765,223,241,44,59,89
Josh Hart,532,225,0.739,0.342,656,425,108,63,23,75
Dillon Brooks,1068,435,0.808,0.358,1181,243,150,63,27,124
Daniel Theis,426,241,0.763,0.333,601,426,111,37,84,54
Chris Boucher,299,141,0.784,0.322,411,277,26,22,61,28
Royce O'Neale,365,158,0.764,0.377,450,389,180,59,32,61
Deandre Ayton,568,310,0.753,0.231,690,436,72,26,58,80
Marvin Bagley III,167,78,0.806,0.182,185,97,10,6,12,18
Luka Doncic,1255,581,0.758,0.316,1759,573,538,62,14,260
Jaren Jackson Jr.,753,353,0.747,0.394,990,262,78,40,92,99
Trae Young,1249,546,0.86,0.361,1778,255,560,65,8,289
Wendell Carter Jr.,343,183,0.737,0.207,484,405,51,33,36,72
Collin Sexton,1086,513,0.846,0.38,1349,204,192,65,7,158
Mikal Bridges,484,247,0.844,0.361,667,292,129,102,46,73
Shai Gilgeous-Alexander,1015,478,0.807,0.347,1331,412,232,79,47,134
Miles Bridges,753,319,0.809,0.33,843,362,114,40,48,95
